2021-03-31 21:41:37 DEBUG request log not activated
2021-03-31 21:41:37 DEBUG response log not activated
2021-03-31 21:41:37 INFO  Dynatrace Monitoring as Code v1.5.0
2021-03-31 21:41:37 DEBUG Reading projects...
2021-03-31 21:41:37 DEBUG   project - apimgmt
2021-03-31 21:41:37 DEBUG   project - config/.logs
2021-03-31 21:41:37 DEBUG   project - config/nonprod
2021-03-31 21:41:37 DEBUG Processing file: config/nonprod/calculated-metrics-service/calculated-metrics-service.yaml
2021-03-31 21:41:37 DEBUG Processing file: config/nonprod/management-zone/management-zone.yaml
2021-03-31 21:41:37 DEBUG 		config/nonprod/management-zone/Crime
2021-03-31 21:41:37 DEBUG 		config/nonprod/management-zone/CFT-IDAM-Staging
2021-03-31 21:41:37 DEBUG 		config/nonprod/management-zone/DTS-CVP-Staging
2021-03-31 21:41:37 DEBUG 		config/nonprod/management-zone/Crime-IdAM-NFT
2021-03-31 21:41:37 DEBUG 		config/nonprod/management-zone/CrimeCPMDV
2021-03-31 21:41:37 DEBUG 		config/nonprod/management-zone/DTS-CVP-Perf
2021-03-31 21:41:37 DEBUG 		config/nonprod/management-zone/CFT-FeesPayments-Perf
2021-03-31 21:41:37 DEBUG 		config/nonprod/management-zone/CFT
2021-03-31 21:41:37 DEBUG 		config/nonprod/management-zone/CFT-Staging
2021-03-31 21:41:37 DEBUG 		config/nonprod/management-zone/Crime-CPNFT
2021-03-31 21:41:37 DEBUG 		config/nonprod/management-zone/DTS-HMI-Dev
2021-03-31 21:41:37 DEBUG 		config/nonprod/management-zone/Crime-ROTANFT
2021-03-31 21:41:37 DEBUG 		config/nonprod/management-zone/CFT-Perf
2021-03-31 21:41:37 DEBUG 		config/nonprod/calculated-metrics-service/SSLDomainout-cftprofessionalreferencedataeperf
